5.410000000000000000e+02,1.590000000000000000e+02,1.700000000000000000e+01
1.880000000000000000e+02,2.120000000000000000e+02,2.700000000000000000e+01
2.870000000000000000e+02,2.580000000000000000e+02,2.600000000000000000e+01
5.800000000000000000e+02,3.020000000000000000e+02,6.300000000000000000e+01
2.210000000000000000e+02,3.380000000000000000e+02,7.000000000000000000e+01
4.240000000000000000e+02,3.440000000000000000e+02,7.800000000000000000e+01
3.240000000000000000e+02,4.110000000000000000e+02,2.300000000000000000e+01
6.330000000000000000e+02,4.230000000000000000e+02,2.900000000000000000e+01
5.670000000000000000e+02,5.230000000000000000e+02,6.800000000000000000e+01
2.270000000000000000e+02,5.840000000000000000e+02,1.400000000000000000e+01
