X-Centroid,Y-Centroid,Radius,Total # Droplets,Unoccupied Area
201,203,38,15,574513
643,280,92,15,574513
509,231,34,15,574513
228,323,68,15,574513
561,424,25,15,574513
414,470,31,15,574513
561,516,70,15,574513
448,539,29,15,574513
233,602,30,15,574513
492,604,29,15,574513
279,616,18,15,574513
234,634,28,15,574513
237,637,24,15,574513
304,637,24,15,574513
