X-Centroid,Y-Centroid,Radius,Total # Droplets,Unoccupied Area
528,170,19,13,580146
194,211,53,13,580146
501,233,32,13,580146
229,338,75,13,580146
629,453,17,13,580146
165,496,67,13,580146
565,516,73,13,580146
397,494,40,13,580146
444,540,34,13,580146
319,565,30,13,580146
366,583,22,13,580146
495,605,34,13,580146
