X-Centroid,Y-Centroid,Radius,Total # Droplets,Unoccupied Area
199,201,37,14,568349
312,207,27,14,568349
647,208,16,14,568349
635,267,86,14,568349
502,232,33,14,568349
231,327,73,14,568349
559,523,76,14,568349
393,499,34,14,568349
444,541,32,14,568349
308,559,25,14,568349
499,604,35,14,568349
244,614,43,14,568349
418,627,34,14,568349
