X-Centroid,Y-Centroid,Radius,Total # Droplets,Unoccupied Area
381,188,38,8,600723
622,274,74,8,600723
281,268,36,8,600723
218,330,68,8,600723
566,518,70,8,600723
454,542,23,8,600723
213,593,20,8,600723
