3.560000000000000000e+02,1.710000000000000000e+02,8.000000000000000000e+01
2.070000000000000000e+02,2.140000000000000000e+02,3.900000000000000000e+01
6.230000000000000000e+02,2.740000000000000000e+02,7.400000000000000000e+01
5.050000000000000000e+02,2.300000000000000000e+02,3.200000000000000000e+01
2.280000000000000000e+02,3.240000000000000000e+02,7.400000000000000000e+01
4.250000000000000000e+02,3.490000000000000000e+02,8.000000000000000000e+01
1.930000000000000000e+02,4.140000000000000000e+02,4.200000000000000000e+01
2.440000000000000000e+02,4.450000000000000000e+02,3.200000000000000000e+01
1.630000000000000000e+02,4.990000000000000000e+02,5.800000000000000000e+01
5.660000000000000000e+02,5.150000000000000000e+02,7.100000000000000000e+01
3.950000000000000000e+02,4.980000000000000000e+02,3.300000000000000000e+01
4.490000000000000000e+02,5.400000000000000000e+02,3.200000000000000000e+01
3.520000000000000000e+02,5.720000000000000000e+02,2.300000000000000000e+01
4.930000000000000000e+02,6.040000000000000000e+02,3.100000000000000000e+01
2.460000000000000000e+02,6.200000000000000000e+02,3.700000000000000000e+01
