X-Centroid,Y-Centroid,Radius,Total # Droplets,Unoccupied Area
253,179,28,10,575892
261,205,26,10,575892
640,207,21,10,575892
229,325,78,10,575892
551,411,111,10,575892
410,511,47,10,575892
307,579,41,10,575892
356,579,35,10,575892
495,607,34,10,575892
