X-Centroid,Y-Centroid,Radius,Total # Droplets,Unoccupied Area
504,227,27,11,588518
230,332,73,11,588518
434,345,82,11,588518
634,433,30,11,588518
208,431,40,11,588518
411,468,26,11,588518
562,516,67,11,588518
381,513,28,11,588518
456,539,22,11,588518
508,591,29,11,588518
