X-Centroid,Y-Centroid,Radius,Total # Droplets,Unoccupied Area
203,213,38,13,578781
629,270,81,13,578781
513,233,31,13,578781
550,242,29,13,578781
228,323,70,13,578781
567,516,71,13,578781
447,541,31,13,578781
319,566,29,13,578781
357,568,28,13,578781
492,604,29,13,578781
245,617,39,13,578781
416,631,31,13,578781
